"Sudoku","ConflictsBefore","ConflictsAfter","Difference","NumAddedClauses"
"sud0",5549,7152,1603,8
"sud1",1,10,9,9
"sud10",75,82,7,7
"sud100",0,2,2,2
"sud101",1,1,0,0
"sud102",0,5,5,5
"sud103",0,1,1,1
"sud104",7,11,4,4
"sud105",0,1,1,1
"sud106",5,7,2,2
"sud108",67,72,5,5
"sud109",15,19,4,4
"sud11",1,8,7,7
"sud110",31,39,8,8
"sud111",0,1,1,1
"sud112",1221,1221,0,0
"sud114",2,7,5,5
"sud116",0,6,6,6
"sud118",0,2,2,2
"sud119",22,27,5,5
"sud120",0,5,5,5
"sud121",2,7,5,5
"sud122",2407,577,-1830,4
"sud123",0,4,4,4
"sud125",388,763,375,6
"sud126",0,4,4,4
"sud127",0,2,2,2
"sud128",0,5,5,5
"sud129",0,4,4,4
"sud13",0,1,1,1
"sud130",5961,4304,-1657,9
"sud131",0,4,4,4
"sud132",74,79,5,5
"sud133",10,12,2,2
"sud134",0,12,12,12
"sud135",7,8,1,1
"sud136",4,7,3,3
"sud139",4,7,3,3
"sud143",0,5,5,5
"sud144",0,3,3,3
"sud146",45,47,2,2
"sud147",0,0,0,0
"sud149",73,75,2,2
"sud15",2657,2231,-426,10
"sud150",4,12,8,8
"sud151",0,5,5,5
"sud152",10,13,3,3
"sud153",1,7,6,6
"sud154",6,8,2,4
"sud156",0,4,4,4
"sud157",1018,181,-837,5
"sud158",29,29,0,0
"sud159",0,2,2,2
"sud16",5,7,2,2
"sud160",78,62,-16,7
"sud163",0,7,7,7
"sud164",0,2,2,2
"sud165",6,11,5,5
"sud169",0,10,10,10
"sud17",0,4,4,4
"sud170",0,2,2,2
"sud172",593,596,3,3
"sud173",0,0,0,0
"sud176",0,5,5,5
"sud177",0,3,3,3
"sud178",23,25,2,2
"sud179",1512,744,-768,3
"sud18",0,2,2,2
"sud180",0,6,6,6
"sud181",0,13,13,13
"sud186",190,878,688,8
"sud188",0,5,5,5
"sud191",52659,15938,-36721,5
"sud193",0,2,2,2
"sud194",2,4,2,2
"sud195",32,34,2,2
"sud196",0,1,1,1
"sud197",36,43,7,7
"sud198",0,6,6,6
"sud199",0,5,5,5
"sud2",24,27,3,3
"sud200",19,23,4,2
"sud202",77,78,1,1
"sud203",0,8,8,8
"sud204",0,13,13,13
"sud205",12,15,3,3
"sud206",2,6,4,4
"sud207",7603,37469,29866,11
"sud209",1396,840,-556,3
"sud21",497,75,-422,6
"sud210",78,323,245,6
"sud211",1,2,1,1
"sud212",347,184,-163,3
"sud214",0,1,1,1
"sud216",0,3,3,3
"sud217",427,427,0,0
"sud219",0,0,0,0
"sud22",0,3,3,3
"sud220",4,11,7,7
"sud221",0,6,6,6
"sud223",0,5,5,5
"sud224",0,3,3,3
"sud226",0,3,3,3
"sud228",795,931,136,4
"sud229",0,6,6,6
"sud23",0,6,6,6
"sud231",0,2,2,2
"sud234",212,34,-178,6
"sud236",13651,36445,22794,2
"sud237",0,4,4,4
"sud238",3,6,3,3
"sud239",0,2,2,2
"sud241",479,480,1,1
"sud242",90,97,7,7
"sud244",105,111,6,6
"sud245",44,45,1,1
"sud247",2,10,8,8
"sud25",11,24,13,13
"sud251",1969,3368,1399,6
"sud252",0,8,8,8
"sud255",86,89,3,3
"sud258",187,440,253,6
"sud259",1,5,4,4
"sud26",126,199,73,7
"sud261",0,3,3,3
"sud264",3,9,6,6
"sud265",6,12,6,6
"sud268",49731,41103,-8628,5
"sud269",0,4,4,4
"sud27",83,60,-23,2
"sud270",9,24,15,15
"sud271",2838,1297,-1541,8
"sud272",463,468,5,5
"sud273",12,21,9,9
"sud274",0,4,4,4
"sud277",157,164,7,7
"sud278",2,6,4,4
"sud279",0,7,7,7
"sud281",731,736,5,5
"sud283",0,2,2,2
"sud284",0,2,2,2
"sud286",35,39,4,4
"sud287",14,17,3,3
"sud291",0,2,2,2
"sud293",0,2,2,2
"sud294",5,15,10,10
"sud295",0,5,5,5
"sud296",1,5,4,4
"sud297",0,5,5,5
"sud299",0,2,2,2
"sud30",0,4,4,4
"sud301",0,2,2,2
"sud303",0,3,3,3
"sud304",4791,3171,-1620,1
"sud305",5,12,7,7
"sud306",2,2,0,0
"sud307",260,223,-37,4
"sud308",0,0,0,0
"sud311",7,14,7,5
"sud313",54,59,5,5
"sud314",6,7,1,1
"sud315",54,55,1,1
"sud317",10961,9510,-1451,3
"sud319",4,10,6,6
"sud32",292,1045,753,7
"sud320",9,11,2,2
"sud321",0,7,7,7
"sud322",282,3876,3594,4
"sud323",0,5,5,5
"sud324",7,9,2,2
"sud327",6,9,3,3
"sud329",45,30,-15,9
"sud33",0,7,7,7
"sud330",0,0,0,0
"sud332",0,1,1,1
"sud334",16,20,4,4
"sud335",306,518,212,16
"sud337",0,1,1,1
"sud34",0,6,6,6
"sud340",0,4,4,4
"sud341",15,19,4,4
"sud342",1,17,16,16
"sud344",6902,7874,972,4
"sud347",0,3,3,3
"sud35",1,4,3,3
"sud350",24,29,5,5
"sud351",8,13,5,5
"sud352",0,4,4,4
"sud353",72,74,2,2
"sud354",1,10,9,9
"sud357",0,2,2,2
"sud358",0,3,3,3
"sud359",0,6,6,6
"sud36",0,4,4,4
"sud360",65,65,0,0
"sud361",0,4,4,4
"sud362",8,12,4,4
"sud364",0,3,3,3
"sud365",0,5,5,5
"sud366",11,14,3,3
"sud367",0,7,7,7
"sud37",6416,5579,-837,5
"sud370",0,5,5,5
"sud371",1,2,1,1
"sud372",33,38,5,5
"sud373",11107,8032,-3075,3
"sud376",8,9,1,5
"sud38",0,5,5,5
"sud380",3275,3774,499,2
"sud381",0,2,2,2
"sud384",0,5,5,5
"sud386",0,3,3,3
"sud389",0,5,5,5
"sud392",327,1434,1107,6
"sud394",0,1,1,1
"sud395",1111,1121,10,10
"sud396",8,13,5,5
"sud398",0,4,4,4
"sud4",0,2,2,2
"sud400",7,11,4,4
"sud403",8,12,4,4
"sud404",3,3,0,0
"sud406",37,41,4,4
"sud407",26,29,3,3
"sud408",0,4,4,4
"sud409",136,139,3,3
"sud41",0,3,3,3
"sud413",0,0,0,0
"sud414",0,3,3,3
"sud415",49,53,4,4
"sud416",0,2,2,2
"sud417",40,45,5,5
"sud418",0,0,0,0
"sud419",0,2,2,2
"sud420",12,16,4,8
"sud421",0,12,12,12
"sud422",15,22,7,7
"sud425",9326,9332,6,6
"sud426",0,5,5,5
"sud427",854,857,3,3
"sud428",0,0,0,0
"sud429",1060,843,-217,4
"sud430",0,1,1,1
"sud431",16,16,0,3
"sud432",0,4,4,4
"sud433",29,38,9,7
"sud435",24,25,1,1
"sud436",0,1,1,1
"sud437",0,4,4,4
"sud438",95,99,4,4
"sud439",0,6,6,6
"sud440",2195,1814,-381,5
"sud442",0,2,2,2
"sud445",1537,866,-671,5
"sud446",28,29,1,1
"sud447",11,15,4,4
"sud448",12,14,2,2
"sud449",15,18,3,3
"sud451",1,4,3,3
"sud452",21399,15195,-6204,4
"sud453",359,361,2,2
"sud455",10196,10199,3,3
"sud457",1,2,1,1
"sud458",6,10,4,4
"sud459",24660,20760,-3900,13
"sud46",0,0,0,0
"sud460",0,2,2,2
"sud462",0,2,2,2
"sud463",1,3,2,2
"sud464",0,2,2,2
"sud465",0,2,2,2
"sud466",10623,5898,-4725,2
"sud467",932,228,-704,5
"sud468",0,1,1,1
"sud47",2,5,3,3
"sud471",0,4,4,4
"sud473",0,3,3,3
